chr,chromStart,chromEnd,name,score,pValue,peak,annotStart,annotEnd,gene,product
U00096.3,842,1055,NA_peak_1,96,11.918,63,337,2799,gene=thrA,product=fused aspartate kinase/homoserine dehydrogenase 1
U00096.3,3335,3631,NA_peak_2,101,12.4478,171,2801,3733,gene=thrB,product=homoserine kinase
U00096.3,4350,4677,NA_peak_3,55,7.30397,207,3734,5020,gene=thrC,product=threonine synthase
U00096.3,6196,6358,NA_peak_4,37,5.23834,71,5683,6459,gene=yaaA,product=DNA binding and peroxide stress response protein YaaA
U00096.3,9468,9744,NA_peak_5,50,6.71305,104,9306,9893,gene=mog,product=molybdopterin adenylyltransferase
U00096.3,10026,10233,NA_peak_6,27,4.03076,63,9928,10494,gene=satP,product=acetate/succinate:H(+) symporter
U00096.3,10682,10836,NA_peak_7,35,4.99503,66,10643,11356,gene=yaaW,product=putative enzyme-specific chaperone YaaW
U00096.3,10682,10836,NA_peak_7,35,4.99503,66,10830,11315,gene=mbiA,product=uncharacterized protein MbiA
U00096.3,13761,13994,NA_peak_8,47,6.3551,71,12163,14079,gene=dnaK,product=chaperone protein DnaK
U00096.3,14706,15122,NA_peak_9,88,11.0545,128,14168,15298,gene=dnaJ,product=chaperone protein DnaJ
U00096.3,23165,23743,NA_peak_10,61,7.99329,477,22391,25207,gene=ileS,product=isoleucine--tRNA ligase
U00096.3,24555,25091,NA_peak_11,49,6.61738,333,22391,25207,gene=ileS,product=isoleucine--tRNA ligase
U00096.3,26507,26695,NA_peak_12,49,6.5747,53,26277,27227,gene=ispH,product=4-hydroxy-3-methylbut-2-enyl diphosphate reductase
U00096.3,27488,27652,NA_peak_13,68,8.85931,69,27293,28207,gene=rihC,product=ribonucleoside hydrolase RihC
U00096.3,31863,32299,NA_peak_14,70,9.08536,126,30817,34038,gene=carB,product=carbamoyl-phosphate synthetase large subunit
U00096.3,32994,33172,NA_peak_15,75,9.53941,52,30817,34038,gene=carB,product=carbamoyl-phosphate synthetase large subunit
U00096.3,35026,35215,NA_peak_16,38,5.37147,96,34781,35371,gene=caiE,product=putative transferase CaiE
U00096.3,35494,35799,NA_peak_17,43,5.8871,174,35377,36162,gene=caiD,product=crotonobetainyl-CoA hydratase
U00096.3,42591,42739,NA_peak_18,48,6.48342,81,42403,43173,gene=fixA,product=putative electron transfer flavoprotein FixA
U00096.3,43585,43768,NA_peak_19,36,5.03295,138,43188,44129,gene=fixB,product=putative electron transfer flavoprotein FixB
U00096.3,47432,47792,NA_peak_20,21,3.31822,245,47246,47776,gene=kefF,product=regulator of KefC-mediated potassium transport and quinone oxidoreductase
U00096.3,47432,47792,NA_peak_20,21,3.31822,245,47769,49631,gene=kefC,product=K(+) : H(+) antiporter KefC
